Title,Brand Name,NEW/Master SKU,Sub-SKU,Category,Collection Name,Ship Types,Single/Set Item,Brand Real Price (poundex-northzone),Brand Miscellaneous (poundex-northzone),MSRP (poundex-northzone),Brand Real Price (poundex-southZone),Brand Miscellaneous (poundex-southZone),MSRP (poundex-southZone),Brand Real Price (baal baal),Brand Miscellaneous (baal baal),MSRP (baal baal),Brand Real Price (bacha hu),Brand Miscellaneous (bacha hu),MSRP (bacha hu),Shipping Price (poundex-northzone),Commission Price (poundex-northzone),Profit Margin Price (poundex-northzone),Ecommerce Miscellaneous (poundex-northzone),Shipping Price (poundex-southZone),Commission Price (poundex-southZone),Profit Margin Price (poundex-southZone),Ecommerce Miscellaneous (poundex-southZone),Shipping Price (baal baal),Commission Price (baal baal),Profit Margin Price (baal baal),Ecommerce Miscellaneous (baal baal),Shipping Price (bacha hu),Commission Price (bacha hu),Profit Margin Price (bacha hu),Ecommerce Miscellaneous (bacha hu),Shipping Width,Shipping Height,Shipping Length,Weight,Product Counts,Main Image URL,Gallery Images,Comments
Sample Product Title -ISHAN-125,poundex,TEST-ISHAN-101,TEST-ISHAN-101,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-127,poundex,TEST-ISHAN-102,TEST-ISHAN-102,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-129,poundex,TEST-ISHAN-103,TEST-ISHAN-103,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-131,poundex,TEST-ISHAN-104,TEST-ISHAN-104,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-133,poundex,TEST-ISHAN-105,TEST-ISHAN-105,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-135,poundex,TEST-ISHAN-106,TEST-ISHAN-106,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-137,poundex,TEST-ISHAN-107,TEST-ISHAN-107,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-139,poundex,TEST-ISHAN-108,TEST-ISHAN-108,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-141,poundex,TEST-ISHAN-109,TEST-ISHAN-109,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-143,poundex,TEST-ISHAN-110,TEST-ISHAN-110,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-145,poundex,TEST-ISHAN-111,TEST-ISHAN-111,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-147,poundex,TEST-ISHAN-112,TEST-ISHAN-112,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-149,poundex,TEST-ISHAN-113,TEST-ISHAN-113,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-151,poundex,TEST-ISHAN-114,TEST-ISHAN-114,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-153,poundex,TEST-ISHAN-115,TEST-ISHAN-115,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-155,poundex,TEST-ISHAN-116,TEST-ISHAN-116,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-157,poundex,TEST-ISHAN-117,TEST-ISHAN-117,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-159,poundex,TEST-ISHAN-118,TEST-ISHAN-118,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-161,poundex,TEST-ISHAN-119,TEST-ISHAN-119,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-163,poundex,TEST-ISHAN-120,TEST-ISHAN-120,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-165,poundex,TEST-ISHAN-121,TEST-ISHAN-121,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-167,poundex,TEST-ISHAN-122,TEST-ISHAN-122,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-169,poundex,TEST-ISHAN-123,TEST-ISHAN-123,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-171,poundex,TEST-ISHAN-124,TEST-ISHAN-124,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-173,poundex,TEST-ISHAN-125,TEST-ISHAN-125,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-175,poundex,TEST-ISHAN-126,TEST-ISHAN-126,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-177,poundex,TEST-ISHAN-127,TEST-ISHAN-127,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-179,poundex,TEST-ISHAN-128,TEST-ISHAN-128,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-181,poundex,TEST-ISHAN-129,TEST-ISHAN-129,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-183,poundex,TEST-ISHAN-130,TEST-ISHAN-130,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-185,poundex,TEST-ISHAN-131,TEST-ISHAN-131,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
Sample Product Title -ISHAN-187,poundex,TEST-ISHAN-132,TEST-ISHAN-132,Electronics,Collection A,Parcel,Single Item,100,10,150,105,10,157.5,110,10,165,115,10,172.5,15,5,20,5,16,5,21,5,17,5,22,5,18,5,23,5,12,8,10,5.5,1,,,Sample comments
