newMasterSku,subSku,mainImageUrl,galleryImages
TEST-ISHAN-132,TEST-ISHAN-132,https://www.pexels.com/photo/white-cups-on-the-bed-7445117/,
TEST-ISHAN-131,TEST-ISHAN-131,https://www.pexels.com/photo/snow-covered-cabin-in-winter-pine-forest-35324745/,
TEST-ISHAN-130,TEST-ISHAN-130,https://www.pexels.com/photo/fashionable-individual-posing-in-urban-setting-29685417/,
TEST-ISHAN-129,TEST-ISHAN-129,https://www.pexels.com/photo/aerial-view-of-solo-skier-on-snowy-slope-35567394/,
TEST-ISHAN-128,TEST-ISHAN-128,,
TEST-ISHAN-127,TEST-ISHAN-127,,
TEST-ISHAN-126,TEST-ISHAN-126,,
TEST-ISHAN-125,TEST-ISHAN-125,,
TEST-ISHAN-124,TEST-ISHAN-124,,
TEST-ISHAN-123,TEST-ISHAN-123,,
TEST-ISHAN-122,TEST-ISHAN-122,,
TEST-ISHAN-121,TEST-ISHAN-121,,
TEST-ISHAN-120,TEST-ISHAN-120,,
TEST-ISHAN-119,TEST-ISHAN-119,,
TEST-ISHAN-118,TEST-ISHAN-118,,
TEST-ISHAN-117,TEST-ISHAN-117,,
TEST-ISHAN-116,TEST-ISHAN-116,,
TEST-ISHAN-115,TEST-ISHAN-115,,
TEST-ISHAN-114,TEST-ISHAN-114,,
TEST-ISHAN-113,TEST-ISHAN-113,,
TEST-ISHAN-112,TEST-ISHAN-112,,
TEST-ISHAN-111,TEST-ISHAN-111,,
TEST-ISHAN-110,TEST-ISHAN-110,,
TEST-ISHAN-109,TEST-ISHAN-109,,
TEST-ISHAN-108,TEST-ISHAN-108,,
TEST-ISHAN-107,TEST-ISHAN-107,,
TEST-ISHAN-106,TEST-ISHAN-106,,
TEST-ISHAN-105,TEST-ISHAN-105,,
TEST-ISHAN-104,TEST-ISHAN-104,,
TEST-ISHAN-103,TEST-ISHAN-103,,
TEST-ISHAN-102,TEST-ISHAN-102,,
TEST-ISHAN-101,TEST-ISHAN-101,,
